AMT;TID;BEBO;INDHOLD
All Denmark;2010;Occupied dwellings;2558501
All Denmark;2011;Occupied dwellings;2573136
All Denmark;2012;Occupied dwellings;2583373
All Denmark;2013;Occupied dwellings;2597968
All Denmark;2014;Occupied dwellings;2612049
All Denmark;2015;Occupied dwellings;2628338
Region Hovedstaden;2010;Occupied dwellings;802375
Region Hovedstaden;2011;Occupied dwellings;807965
Region Hovedstaden;2012;Occupied dwellings;811563
Region Hovedstaden;2013;Occupied dwellings;816503
Region Hovedstaden;2014;Occupied dwellings;820613
Region Hovedstaden;2015;Occupied dwellings;825798
Province Byen København;2010;Occupied dwellings;354154
Province Byen København;2011;Occupied dwellings;356979
Province Byen København;2012;Occupied dwellings;359014
Province Byen København;2013;Occupied dwellings;361489
Province Byen København;2014;Occupied dwellings;363155
Province Byen København;2015;Occupied dwellings;366063
Copenhagen;2010;Occupied dwellings;278180
Copenhagen;2011;Occupied dwellings;280506
Copenhagen;2012;Occupied dwellings;282347
Copenhagen;2013;Occupied dwellings;284551
Copenhagen;2014;Occupied dwellings;286159
Copenhagen;2015;Occupied dwellings;288767
Frederiksberg;2010;Occupied dwellings;51758
Frederiksberg;2011;Occupied dwellings;52138
Frederiksberg;2012;Occupied dwellings;52317
Frederiksberg;2013;Occupied dwellings;52462
Frederiksberg;2014;Occupied dwellings;52485
Frederiksberg;2015;Occupied dwellings;52635
Dragør;2010;Occupied dwellings;5760
Dragør;2011;Occupied dwellings;5804
Dragør;2012;Occupied dwellings;5817
Dragør;2013;Occupied dwellings;5875
Dragør;2014;Occupied dwellings;5911
Dragør;2015;Occupied dwellings;5944
Tårnby;2010;Occupied dwellings;18456
Tårnby;2011;Occupied dwellings;18531
Tårnby;2012;Occupied dwellings;18533
Tårnby;2013;Occupied dwellings;18601
Tårnby;2014;Occupied dwellings;18600
Tårnby;2015;Occupied dwellings;18717
Province Københavns omegn;2010;Occupied dwellings;237101
Province Københavns omegn;2011;Occupied dwellings;238768
Province Københavns omegn;2012;Occupied dwellings;239962
Province Københavns omegn;2013;Occupied dwellings;241434
Province Københavns omegn;2014;Occupied dwellings;242614
Province Københavns omegn;2015;Occupied dwellings;243518
Albertslund;2010;Occupied dwellings;12297
Albertslund;2011;Occupied dwellings;12382
Albertslund;2012;Occupied dwellings;12422
Albertslund;2013;Occupied dwellings;12496
Albertslund;2014;Occupied dwellings;12449
Albertslund;2015;Occupied dwellings;12509
Ballerup;2010;Occupied dwellings;21886
Ballerup;2011;Occupied dwellings;21900
Ballerup;2012;Occupied dwellings;21987
Ballerup;2013;Occupied dwellings;22162
Ballerup;2014;Occupied dwellings;22318
Ballerup;2015;Occupied dwellings;22341
Brøndby;2010;Occupied dwellings;15600
Brøndby;2011;Occupied dwellings;15681
Brøndby;2012;Occupied dwellings;15671
Brøndby;2013;Occupied dwellings;15672
Brøndby;2014;Occupied dwellings;15698
Brøndby;2015;Occupied dwellings;15742
Gentofte;2010;Occupied dwellings;31730
Gentofte;2011;Occupied dwellings;32272
Gentofte;2012;Occupied dwellings;32640
Gentofte;2013;Occupied dwellings;32720
Gentofte;2014;Occupied dwellings;32803
Gentofte;2015;Occupied dwellings;32973
Gladsaxe;2010;Occupied dwellings;30294
Gladsaxe;2011;Occupied dwellings;30531
Gladsaxe;2012;Occupied dwellings;30503
Gladsaxe;2013;Occupied dwellings;30725
Gladsaxe;2014;Occupied dwellings;30885
Gladsaxe;2015;Occupied dwellings;31073
Glostrup;2010;Occupied dwellings;10700
Glostrup;2011;Occupied dwellings;10671
Glostrup;2012;Occupied dwellings;10736
Glostrup;2013;Occupied dwellings;10809
Glostrup;2014;Occupied dwellings;10827
Glostrup;2015;Occupied dwellings;10840
Herlev;2010;Occupied dwellings;12571
Herlev;2011;Occupied dwellings;12626
Herlev;2012;Occupied dwellings;12635
Herlev;2013;Occupied dwellings;12768
Herlev;2014;Occupied dwellings;13069
Herlev;2015;Occupied dwellings;13168
Hvidovre;2010;Occupied dwellings;23422
Hvidovre;2011;Occupied dwellings;23381
Hvidovre;2012;Occupied dwellings;23553
Hvidovre;2013;Occupied dwellings;23790
Hvidovre;2014;Occupied dwellings;23845
Hvidovre;2015;Occupied dwellings;23892
Høje-Taastrup;2010;Occupied dwellings;20677
Høje-Taastrup;2011;Occupied dwellings;20846
Høje-Taastrup;2012;Occupied dwellings;20932
Høje-Taastrup;2013;Occupied dwellings;21030
Høje-Taastrup;2014;Occupied dwellings;21135
Høje-Taastrup;2015;Occupied dwellings;21197
Ishøj;2010;Occupied dwellings;8713
Ishøj;2011;Occupied dwellings;8947
Ishøj;2012;Occupied dwellings;8987
Ishøj;2013;Occupied dwellings;9035
Ishøj;2014;Occupied dwellings;9153
Ishøj;2015;Occupied dwellings;9297
Lyngby-Taarbæk;2010;Occupied dwellings;25581
Lyngby-Taarbæk;2011;Occupied dwellings;25721
Lyngby-Taarbæk;2012;Occupied dwellings;26035
Lyngby-Taarbæk;2013;Occupied dwellings;26209
Lyngby-Taarbæk;2014;Occupied dwellings;26265
Lyngby-Taarbæk;2015;Occupied dwellings;26325
Rødovre;2010;Occupied dwellings;17700
Rødovre;2011;Occupied dwellings;17716
Rødovre;2012;Occupied dwellings;17768
Rødovre;2013;Occupied dwellings;17830
Rødovre;2014;Occupied dwellings;17893
Rødovre;2015;Occupied dwellings;17862
Vallensbæk;2010;Occupied dwellings;5930
Vallensbæk;2011;Occupied dwellings;6094
Vallensbæk;2012;Occupied dwellings;6093
Vallensbæk;2013;Occupied dwellings;6188
Vallensbæk;2014;Occupied dwellings;6274
Vallensbæk;2015;Occupied dwellings;6299
Province Nordsjælland;2010;Occupied dwellings;190639
Province Nordsjælland;2011;Occupied dwellings;191760
Province Nordsjælland;2012;Occupied dwellings;192233
Province Nordsjælland;2013;Occupied dwellings;193224
Province Nordsjælland;2014;Occupied dwellings;194562
Province Nordsjælland;2015;Occupied dwellings;196000
Allerød;2010;Occupied dwellings;9553
Allerød;2011;Occupied dwellings;9590
Allerød;2012;Occupied dwellings;9613
Allerød;2013;Occupied dwellings;9663
Allerød;2014;Occupied dwellings;9738
Allerød;2015;Occupied dwellings;9853
Egedal;2010;Occupied dwellings;16075
Egedal;2011;Occupied dwellings;16177
Egedal;2012;Occupied dwellings;16226
Egedal;2013;Occupied dwellings;16384
Egedal;2014;Occupied dwellings;16472
Egedal;2015;Occupied dwellings;16649
Fredensborg;2010;Occupied dwellings;16913
Fredensborg;2011;Occupied dwellings;16982
Fredensborg;2012;Occupied dwellings;17083
Fredensborg;2013;Occupied dwellings;17093
Fredensborg;2014;Occupied dwellings;17188
Fredensborg;2015;Occupied dwellings;17367
Frederikssund;2010;Occupied dwellings;18662
Frederikssund;2011;Occupied dwellings;18778
Frederikssund;2012;Occupied dwellings;18856
Frederikssund;2013;Occupied dwellings;18940
Frederikssund;2014;Occupied dwellings;19046
Frederikssund;2015;Occupied dwellings;19218
Furesø;2010;Occupied dwellings;16089
Furesø;2011;Occupied dwellings;16089
Furesø;2012;Occupied dwellings;16034
Furesø;2013;Occupied dwellings;16036
Furesø;2014;Occupied dwellings;16144
Furesø;2015;Occupied dwellings;16333
Gribskov;2010;Occupied dwellings;17050
Gribskov;2011;Occupied dwellings;17166
Gribskov;2012;Occupied dwellings;17205
Gribskov;2013;Occupied dwellings;17318
Gribskov;2014;Occupied dwellings;17408
Gribskov;2015;Occupied dwellings;17475
Halsnæs;2010;Occupied dwellings;13649
Halsnæs;2011;Occupied dwellings;13706
Halsnæs;2012;Occupied dwellings;13690
Halsnæs;2013;Occupied dwellings;13707
Halsnæs;2014;Occupied dwellings;13747
Halsnæs;2015;Occupied dwellings;13842
Helsingør;2010;Occupied dwellings;27683
